Email,Last login,Rating,Status,isAdmin,Performance, 
"meghan.kemmer@hotmail.com,","7/2/2021, 9:37:51 PM",2.4,away,true,1.31,
"kallie_powlowski57@hotmail.com,","7/3/2021, 10:37:51 PM",2.3,online,true,87.61,
"hortense.streich@hotmail.com,","7/4/2021, 11:37:51 PM",4.1,away,true,25.6,
"brennon64@yahoo.com,","7/6/2021, 12:37:51 AM",4.5,away,false,38.84,
"gus56@hotmail.com,","7/7/2021, 1:37:51 AM",5,online,true,36.32,
"lonny84@hotmail.com,","7/8/2021, 2:37:51 AM",4.1,online,false,90.85,
"constantin91@yahoo.com,","7/9/2021, 3:37:51 AM",3.2,online,true,31.41,
"mack_deckow53@gmail.com,","7/10/2021, 4:37:51 AM",1.2,busy,true,92.43,
"aric67@gmail.com,","7/11/2021, 5:37:51 AM",3.9,away,false,46.69,
"sadie18@yahoo.com,","7/12/2021, 6:37:51 AM",3.1,busy,false,66.13,
"arlo_mccullough@gmail.com,","7/13/2021, 7:37:51 AM",2.6,away,true,50.61,
"enoch.cruickshank@gmail.com,","7/14/2021, 8:37:51 AM",5,online,true,34.09,
"louie.kuphal39@gmail.com,","7/15/2021, 9:37:51 AM",1.8,online,true,47.6,
"genevieve.powlowski@hotmail.com,","7/16/2021, 10:37:51 AM",3.9,busy,false,99.31,
"jimmie.gerhold73@hotmail.com,","7/17/2021, 11:37:51 AM",3.9,online,false,3.33,
"olen_legros@gmail.com,","7/18/2021, 12:37:51 PM",2.9,busy,true,2.46,
"avery43@hotmail.com,","7/19/2021, 1:37:51 PM",5,online,false,47.59,
"zella_hickle4@yahoo.com,","7/20/2021, 2:37:51 PM",1.8,online,false,72.91,
"dawn.goyette@gmail.com,","7/21/2021, 3:37:51 PM",2.4,online,false,80.96,
"benny89@yahoo.com,","7/22/2021, 4:37:51 PM",1.4,busy,true,24.04,
"dasia_jenkins@hotmail.com,","7/23/2021, 5:37:51 PM",3.7,away,false,34.45,
"mireya13@hotmail.com,","7/24/2021, 6:37:51 PM",2,away,false,43.37,
"dwight.block85@yahoo.com,","7/25/2021, 7:37:51 PM",4,busy,false,89.34,
"tyrel_greenholt@gmail.com,","7/26/2021, 8:37:51 PM",4.8,away,true,39.14,
"vito.hudson@hotmail.com,","7/27/2021, 9:37:51 PM",4.9,busy,true,73.08,
"vergie_block82@hotmail.com,","7/28/2021, 10:37:51 PM",2,online,true,88.41,
"marjolaine_white94@gmail.com,","7/29/2021, 11:37:51 PM",2.5,busy,false,91.64,
"joana.simonis84@gmail.com,","7/31/2021, 12:37:51 AM",3.7,online,false,45.06,
"luella.ryan33@gmail.com,","8/1/2021, 1:37:51 AM",5,online,false,88.44,
"lenna_bergnaum27@hotmail.com,","8/2/2021, 2:37:51 AM",4.9,online,false,12.32,
"aditya_greenfelder31@gmail.com,","8/3/2021, 3:37:51 AM",5,away,true,58.79,
"letha_lubowitz24@yahoo.com,","8/4/2021, 4:37:51 AM",4,away,false,63.41,
"violet.ratke86@yahoo.com,","8/5/2021, 5:37:51 AM",2,online,false,79,
"milo.farrell@hotmail.com,","8/6/2021, 6:37:51 AM",4.9,online,true,73.99,
"ashlynn_ohara62@gmail.com,","8/7/2021, 7:37:51 AM",2,away,true,86.36,
"nannie_abernathy70@yahoo.com,","8/8/2021, 8:37:51 AM",2.5,online,true,8.62,
